Alimento	Categoria	Acqua	Proteine	Lipidi	Carboidrati	Zuccheri	Amido	Fibra
Acciuga	Pesce	76.5	16.8	2.6	1.5	1.5	0.001	0.001
Aglio	Verdura	62.8	8.4	0.8	1	1	0.001	4.3
Agnello	Carne	70.1	20	8.8	0.001	0.001	0.001	0.001
Agretti	Verdura	92.3	1.8	0.2	2.2	1.02	0.001	2.3
Albicocche	Frutta	86.3	0.4	0.1	9.8	0.97	0.001	1.5
Amarene	Frutta	85.2	0.8	0.1	10.2	16.1	0.001	0.3
Anacardi	Frutta	3	15	46	33	66.5	0.001	0.1
Ananas	Frutta	86.4	0.5	0.001	10	2.1	0.001	1.1
Anatra	Carne	68.8	21.4	8.2	0.001	0.001	0.001	0.001
Anguilla	Pesce	61.5	11.8	23.7	0.1	5.6	0.001	0.001
Aragosta	Pesce	78.1	16	1.9	1	0.1	0.001	0.001
Arance_bionde	Frutta	87.1	0.7	0.2	9.9	3.1	0.001	2.2
Arance_rosse	Frutta	87.2	0.7	0.2	9.9	9.6	0.001	1.6
Arance	Frutta	87.2	0.7	0.2	7.8	8.2	0.001	1.6
Aringa	Pesce	65.1	16.5	16.7	0.001	0.001	0.001	0.001
Asparagi_di_campo	Verdura	91.4	3.6	0.2	3.3	7.8	0.001	2.2
Avocado	Frutta	66	4.4	23	1.8	4	0.1	2
Banane	Frutta	78.8	1.2	0.3	17.4	1.8	2.4	1.1
Barbabietole_rosse	Verdura	91.3	1.1	0.1	4	4.5	0.001	1.8
Bieta	Verdura	93.3	1.3	0.1	1.8	3.1	0.001	1.2
Boga	Pesce	79.3	18.3	1.2	0.8	28.8	0.001	0.001
Bovino_fesa	Carne	75.2	21.8	1.8	0.001	0.001	0.001	0.001
Bresaola	Carne	59.3	33.1	2	0.4	0.001	0.001	0.001
Brie	Latticini	51.6	19.3	26.9	0.2	26.7	0.001	0.001
Broccolo	Verdura	92	3	0.4	3.1	0.2	0.001	2.9
Burro	Latticini	14.1	0.8	83.4	1.1	2	0.001	0.001
Caciocavallo	Latticini	30	35.7	31.1	2.3	1.1	0.001	0.001
Caciotta_mista	Latticini	39.5	24.5	31	1.8	0.3	0.001	0.001
Calamaro	Pesce	83	12.6	1.7	0.6	0.8	0.001	0.001
Camembert	Latticini	51.7	20.9	24.7	0.2	1.5	0.001	0.001
Capitone	Pesce	62	13	21.5	0.5	0.2	0.001	0.001
Capra	Carne	76.9	21.2	2.3	0.001	0.001	0.001	0.001
Carciofi	Verdura	91.3	2.7	0.2	2.5	70	0.5	5.6
Cardi	Verdura	94.3	0.6	0.1	1.7	1.9	0.2	5.5
Carote	Verdura	90	1.1	0.2	7.6	2.5	0.001	3.1
Carpa	Pesce	72.4	18.9	7.1	0.001	0.001	0.001	0.001
Castagne	Frutta	55.8	2.9	1.7	36.7	8.7	25.3	23.1
Cavallo	Carne	74	23.5	1	0.7	0.001	0.6	0.001
Caviale	Pesce	46	26.9	15	3.3	8.9	0.001	0.001
Cavolfiore	Verdura	90.5	3.2	0.2	2.7	16.1	0.3	2.4
Cavoli_di_Bruxelles	Verdura	85.7	4.2	0.5	4.2	2.4	0.8	2.4
Ceci_secchi	Legumi	10.3	20.9	6.3	46.9	2.5	39.3	2.9
Cefalo_muggine	Pesce	73.4	15.8	6.8	0.7	3.8	0.001	0.001
Cervo	Carne	76.5	21	0.8	0.001	0.001	0.001	0.001
Cetrioli	Verdura	96.5	0.7	0.5	1.8	1.3	0.001	13.6
Cheddar	Latticini	38.5	26.7	31	0.5	0.7	0.001	0.001
Cicoria_di_campo	Verdura	93.4	1.4	0.2	0.7	0.5	0.001	1.2
Ciliege	Frutta	86.2	0.8	0.1	11	0.7	0.001	1.1
Cipolle	Verdura	92.1	1	0.1	5.7	50.5	0.001	8
Clementine	Frutta	87.5	0.9	0.1	8.7	7.8	0.001	2.4
Cocco	Frutta	50.9	3.5	35	4.4	10.9	0.001	1.2
Cocomero	Frutta	95.3	0.4	0.1	3.7	8.7	0.001	6.1
Coniglio_intero	Carne	74.9	19.9	4.3	0.001	0.001	0.001	0.001
