sample	type	A	B	C	D	E	F	G	H	I	J	K	L
1	1	80	408	37	583	466	24	15	388	988	3	13	45
2	1	76	327	40	507	483	25	18	396	1033	3	12	46
3	1	79	296	43	467	397	20	17	323	859	4	13	44
4	1	74	415	28	569	407	24	15	352	921	4	13	46
5	1	69	381	29	510	367	21	14	329	870	4	13	46
6	1	66	340	35	428	387	26	13	339	910	4	14	50
7	1	82	373	17	401	337	23	11	297	813	4	13	42
8	1	78	385	34	459	371	19	12	313	843	3	12	41
9	1	67	374	34	458	385	22	12	326	868	3	13	47
10	1	50	331	32	422	345	17	12	307	835	3	12	42
11	1	66	342	30	423	341	17	13	305	846	3	13	43
12	1	54	321	28	408	354	20	13	310	874	4	13	41
13	1	68	344	33	429	333	16	12	300	824	3	11	38
14	1	69	358	37	446	347	17	13	311	855	3	11	37
15	1	78	346	40	411	320	16	12	287	796	3	11	36
16	1	77	387	51	427	345	22	12	290	805	3	10	32
17	1	104	322	72	432	353	18	13	303	823	3	10	35
18	1	84	333	55	421	340	17	13	292	787	3	10	31
19	1	82	382	47	457	328	18	10	278	765	3	10	31
20	2	65	403	18	496	529	19	19	365	1014	3	11	35
21	2	58	352	18	434	457	17	17	312	907	3	8	26
22	2	71	394	25	555	560	18	20	391	1083	3	11	33
23	2	69	369	25	497	500	16	18	349	1005	3	10	29
24	2	83	344	28	489	479	15	17	352	957	3	10	29
25	2	93	344	31	500	481	15	18	352	990	3	10	29
26	2	65	453	18	503	529	21	17	390	1017	3	10	31
27	2	62	405	17	500	488	18	17	357	965	3	9	27
28	2	58	435	16	501	548	21	17	415	1056	3	10	31
29	2	63	459	17	544	575	21	19	426	1100	3	10	28
30	2	99	462	26	490	500	22	16	403	1057	3	10	30
31	2	81	357	21	402	396	16	14	310	814	2	7	17
32	2	80	380	23	497	483	18	17	395	1041	3	10	28
33	2	76	425	22	486	475	22	17	379	1007	4	10	25
34	2	79	446	24	446	418	18	14	319	803	3	9	25
35	2	78	461	24	478	458	19	16	352	908	3	9	23
36	2	108	477	29	493	430	16	14	329	811	3	11	28
37	2	111	481	28	494	429	16	15	330	833	3	9	22
38	2	82	408	22	473	431	18	12	317	774	3	10	27
39	2	73	428	20	493	445	18	13	327	804	3	8	20
40	2	102	469	25	490	457	20	11	327	776	3	10	27
41	2	90	463	22	491	452	20	12	324	774	3	9	21
42	2	50	410	14	440	419	19	12	300	704	3	11	28
43	2	61	425	17	445	432	20	12	318	758	3	10	23
